id,d,lambda,m,v,e,cu,e/cu,g/cu,tp/d,tt,ike,cup,ke/cup,v2,tp
280,0.08,0.2,0.2,20,1000,5,200,66.66666667,1.3014,0.009940000000000001,40.0,2.010619298,19.89436789,400,0.104112
130,0.04,0.1,0.5,5,500,5,100,33.33333333,2.1742,0.0306,6.25,0.251327412,24.86795986,25,0.086968
180,0.08,0.1,0.5,20,2000,10,200,66.66666667,1.8568,0.014119999999999999,100.0,4.021238597,24.86795986,400,0.148544
211,0.04,0.1,0.2,10,5000,10,500,166.66666669999998,1.4897,0.009640000000000001,10.0,0.502654825,19.89436789,100,0.059588
252,0.04,0.2,0.5,15,1000,10,100,33.33333333,5.7784,0.029580000000000002,56.25,0.502654825,111.90581940000001,225,0.231136
141,0.04,0.1,0.5,15,1000,10,100,33.33333333,7.6101,0.0396,56.25,0.502654825,111.90581940000001,225,0.304404
176,0.04,0.1,0.2,20,2000,10,200,66.66666667,4.6347,0.01816,40.0,0.502654825,79.57747155,400,0.185388
24,0.04,0.0,0.1,15,1000,10,100,33.33333333,3.5262,0.01904,11.25,0.502654825,22.38116387,225,0.141048
179,0.04,0.1,0.5,20,2000,10,200,66.66666667,10.5663,0.0419,100.0,0.502654825,198.9436789,400,0.422652
138,0.04,0.1,0.2,15,1000,10,100,33.33333333,3.3827,0.01738,22.5,0.502654825,44.76232774,225,0.13530799999999998
63,0.04,0.0,0.2,10,2000,10,200,66.66666667,3.0129,0.0225,10.0,0.502654825,19.89436789,100,0.12051600000000001
246,0.04,0.2,0.1,15,1000,10,100,33.33333333,1.4821,0.0065,11.25,0.502654825,22.38116387,225,0.059284
248,0.04,0.2,0.2,10,1000,10,100,33.33333333,1.4183,0.009040000000000001,10.0,0.502654825,19.89436789,100,0.056732
36,0.04,0.0,0.5,15,2500,25,100,33.33333333,6.4782,0.03274,56.25,1.256637061,44.76232774,225,0.259128
293,0.04,0.2,0.2,20,5000,25,200,66.66666667,1.7256,0.00614,40.0,1.256637061,31.83098862,400,0.069024
107,0.04,0.0,0.2,15,12500,25,500,166.66666669999998,2.5269,0.01256,22.5,1.256637061,17.904931100000002,225,0.101076
71,0.04,0.0,0.2,20,5000,25,200,66.66666667,4.3417,0.01644,40.0,1.256637061,31.83098862,400,0.17366800000000002
109,0.04,0.0,0.5,10,12500,25,500,166.66666669999998,2.7966,0.02016,25.0,1.256637061,19.89436789,100,0.111864
109,0.04,0.0,0.5,10,12500,25,500,166.66666669999998,2.7966,0.02016,25.0,1.256637061,19.89436789,100,0.111864
332,0.04,0.2,0.5,15,12500,25,500,166.66666669999998,1.9199,0.008879999999999999,56.25,1.256637061,44.76232774,225,0.076796
333,0.04,0.2,0.5,20,12500,25,500,166.66666669999998,2.915,0.01052,100.0,1.256637061,79.57747155,400,0.11660000000000001
220,0.04,0.1,0.5,10,12500,25,500,166.66666669999998,1.5043,0.00948,25.0,1.256637061,19.89436789,100,0.060172
36,0.04,0.0,0.5,15,2500,25,100,33.33333333,6.4782,0.03274,56.25,1.256637061,44.76232774,225,0.259128
293,0.04,0.2,0.2,20,5000,25,200,66.66666667,1.7256,0.00614,40.0,1.256637061,31.83098862,400,0.069024
88,0.04,0.0,0.1,15,2500,5,500,166.66666669999998,4.7026,0.0269,11.25,0.251327412,44.76232774,225,0.18810400000000002
62,0.04,0.0,0.1,20,2000,10,200,66.66666667,4.6208,0.01986,20.0,0.502654825,39.78873577,400,0.184832
74,0.04,0.0,0.5,20,5000,25,200,66.66666667,9.4453,0.0365,100.0,1.256637061,79.57747155,400,0.377812
95,0.08,0.0,0.2,20,2500,5,500,166.66666669999998,2.5839999999999996,0.026660000000000003,40.0,2.010619298,19.89436789,400,0.20672
110,0.04,0.0,0.5,15,12500,25,500,166.66666669999998,5.2543,0.026000000000000002,56.25,1.256637061,44.76232774,225,0.210172
107,0.04,0.0,0.2,15,12500,25,500,166.66666669999998,2.5269,0.01256,22.5,1.256637061,17.904931100000002,225,0.101076
56,0.04,0.0,0.5,5,1000,5,200,66.66666667,3.8153,0.05534,6.25,0.251327412,24.86795986,25,0.152612
53,0.04,0.0,0.2,10,1000,5,200,66.66666667,5.2004,0.04046,10.0,0.251327412,39.78873577,100,0.208016
57,0.04,0.0,0.5,10,1000,5,200,66.66666667,12.0607,0.09504,25.0,0.251327412,99.47183943,100,0.482428
24,0.04,0.0,0.1,15,1000,10,100,33.33333333,3.5262,0.01904,11.25,0.502654825,22.38116387,225,0.141048
27,0.04,0.0,0.2,15,1000,10,100,33.33333333,6.221,0.0334,22.5,0.502654825,44.76232774,225,0.24884
180,0.08,0.1,0.5,20,2000,10,200,66.66666667,1.8568,0.014119999999999999,100.0,4.021238597,24.86795986,400,0.148544
222,0.04,0.1,0.5,20,12500,25,500,166.66666669999998,4.0382,0.01486,100.0,1.256637061,79.57747155,400,0.161528
150,0.04,0.1,0.1,10,200,1,200,66.66666667,5.1299,0.045939999999999995,5.0,0.050265482,99.47183943,100,0.20519600000000002
142,0.04,0.1,0.5,20,1000,10,100,33.33333333,13.0562,0.052579999999999995,100.0,0.502654825,198.9436789,400,0.522248
166,0.04,0.1,0.2,20,1000,5,200,66.66666667,7.9098,0.033639999999999996,40.0,0.251327412,159.1549431,400,0.316392
184,0.04,0.1,0.5,15,5000,25,200,66.66666667,2.9221,0.014119999999999999,56.25,1.256637061,44.76232774,225,0.116884
189,0.04,0.1,0.2,10,500,1,500,166.66666669999998,8.3349,0.07092000000000001,10.0,0.050265482,198.9436789,100,0.33339599999999997
148,0.04,0.1,0.5,20,2500,25,100,33.33333333,5.5831,0.0213,100.0,1.256637061,79.57747155,400,0.223324
178,0.04,0.1,0.5,15,2000,10,200,66.66666667,6.3357,0.03224,56.25,0.502654825,111.90581940000001,225,0.253428
147,0.04,0.1,0.5,15,2500,25,100,33.33333333,3.3489999999999998,0.01642,56.25,1.256637061,44.76232774,225,0.13396
114,0.04,0.1,0.2,5,100,1,100,33.33333333,4.0133,0.0625,2.5,0.050265482,49.73591972,25,0.160532
329,0.04,0.2,0.2,15,12500,25,500,166.66666669999998,1.1595,0.0048,22.5,1.256637061,17.904931100000002,225,0.04638
258,0.04,0.2,0.5,15,2500,25,100,33.33333333,2.5625,0.0124,56.25,1.256637061,44.76232774,225,0.10250000000000001
264,0.04,0.2,0.5,5,200,1,200,66.66666667,5.7433,0.08694,6.25,0.050265482,124.3397993,25,0.229732
277,0.04,0.2,0.2,20,1000,5,200,66.66666667,6.0784,0.02486,40.0,0.251327412,159.1549431,400,0.24313600000000002
283,0.04,0.2,0.1,15,2000,10,200,66.66666667,1.3655,0.0059,11.25,0.502654825,22.38116387,225,0.05462
303,0.08,0.2,0.1,20,500,1,500,166.66666669999998,1.8651,0.02164,20.0,0.40212386,49.73591972,400,0.149208
230,0.08,0.2,0.2,10,100,1,100,33.33333333,1.5544,0.0272,10.0,0.40212386,24.86795986,100,0.124352
278,0.04,0.2,0.5,5,1000,5,200,66.66666667,1.4995,0.0194,6.25,0.251327412,24.86795986,25,0.059980000000000006
281,0.08,0.2,0.5,15,1000,5,200,66.66666667,1.5444,0.014719999999999999,56.25,2.010619298,27.97645484,225,0.12355200000000001
294,0.04,0.2,0.5,10,5000,25,200,66.66666667,1.3172,0.0081,25.0,1.256637061,19.89436789,100,0.052688
226,0.04,0.2,0.2,10,100,1,100,33.33333333,9.2308,0.08184,10.0,0.050265482,198.9436789,100,0.369232
