,id,d,lambda,m,v,e,cu,e/cu,g/cu,tp/d,tt,ike,cup,ke/cup,v2,tp
18,53,0.04,0.0,0.2,10,6.907755278982137,1.6094379124341003,200,66.66666667,5.2004,0.04046,10.0,0.251327412,39.78873577,100,0.208016
144,238,0.04,0.2,0.2,10,6.214608098422191,1.6094379124341003,100,33.33333333,2.3147,0.01734,10.0,0.251327412,39.78873577,100,0.092588
128,214,0.04,0.1,0.5,10,8.517193191416238,2.302585092994046,500,166.66666669999998,2.8122,0.02034,25.0,0.502654825,49.73591972,100,0.11248799999999999
99,178,0.04,0.1,0.5,15,7.600902459542082,2.302585092994046,200,66.66666667,6.3357,0.03224,56.25,0.502654825,111.90581940000001,225,0.253428
41,103,0.04,0.0,0.5,10,8.517193191416238,2.302585092994046,500,166.66666669999998,5.8437,0.044539999999999996,25.0,0.502654825,49.73591972,100,0.233748
12,32,0.08,0.0,0.5,20,6.907755278982137,2.302585092994046,100,33.33333333,3.5413,0.03102,100.0,4.021238597,24.86795986,400,0.283304
11,30,0.04,0.0,0.5,15,6.907755278982137,2.302585092994046,100,33.33333333,14.5673,0.0777,56.25,0.502654825,111.90581940000001,225,0.582692
23,63,0.04,0.0,0.2,10,7.600902459542082,2.302585092994046,200,66.66666667,3.0129,0.0225,10.0,0.502654825,19.89436789,100,0.12051600000000001
11,30,0.04,0.0,0.5,15,6.907755278982137,2.302585092994046,100,33.33333333,14.5673,0.0777,56.25,0.502654825,111.90581940000001,225,0.582692
156,254,0.08,0.2,0.5,20,6.907755278982137,2.302585092994046,100,33.33333333,1.5808,0.01142,100.0,4.021238597,24.86795986,400,0.126464
72,143,0.08,0.1,0.5,20,6.907755278982137,2.302585092994046,100,33.33333333,2.0798,0.01648,100.0,4.021238597,24.86795986,400,0.166384
26,66,0.04,0.0,0.5,10,7.600902459542082,2.302585092994046,200,66.66666667,6.443,0.048260000000000004,25.0,0.502654825,49.73591972,100,0.25772
129,215,0.04,0.1,0.5,15,8.517193191416238,2.302585092994046,500,166.66666669999998,5.4001,0.02688,56.25,0.502654825,111.90581940000001,225,0.216004
134,220,0.04,0.1,0.5,10,9.433483923290392,3.2188758248682006,500,166.66666669999998,1.5043,0.00948,25.0,1.256637061,19.89436789,100,0.060172
189,292,0.04,0.2,0.2,15,8.517193191416238,3.2188758248682006,200,66.66666667,1.2448,0.0052,22.5,1.256637061,17.904931100000002,225,0.049791999999999996
44,107,0.04,0.0,0.2,15,9.433483923290392,3.2188758248682006,500,166.66666669999998,2.5269,0.01256,22.5,1.256637061,17.904931100000002,225,0.101076
104,184,0.04,0.1,0.5,15,8.517193191416238,3.2188758248682006,200,66.66666667,2.9221,0.014119999999999999,56.25,1.256637061,44.76232774,225,0.116884
76,148,0.04,0.1,0.5,20,7.824046010856292,3.2188758248682006,100,33.33333333,5.5831,0.0213,100.0,1.256637061,79.57747155,400,0.223324
190,293,0.04,0.2,0.2,20,8.517193191416238,3.2188758248682006,200,66.66666667,1.7256,0.00614,40.0,1.256637061,31.83098862,400,0.069024
132,218,0.04,0.1,0.2,15,9.433483923290392,3.2188758248682006,500,166.66666669999998,1.3959,0.0058200000000000005,22.5,1.256637061,17.904931100000002,225,0.055836
219,330,0.04,0.2,0.2,20,9.433483923290392,3.2188758248682006,500,166.66666669999998,1.5167,0.00496,40.0,1.256637061,31.83098862,400,0.060668
45,108,0.04,0.0,0.2,20,9.433483923290392,3.2188758248682006,500,166.66666669999998,3.9226,0.015019999999999999,40.0,1.256637061,31.83098862,400,0.15690400000000002
192,295,0.04,0.2,0.5,15,8.517193191416238,3.2188758248682006,200,66.66666667,2.1797,0.01018,56.25,1.256637061,44.76232774,225,0.087188
46,109,0.04,0.0,0.5,10,9.433483923290392,3.2188758248682006,500,166.66666669999998,2.7966,0.02016,25.0,1.256637061,19.89436789,100,0.111864
31,73,0.04,0.0,0.5,15,8.517193191416238,3.2188758248682006,200,66.66666667,5.7926,0.028839999999999998,56.25,1.256637061,44.76232774,225,0.23170400000000002
14,36,0.04,0.0,0.5,15,7.824046010856292,3.2188758248682006,100,33.33333333,6.4782,0.03274,56.25,1.256637061,44.76232774,225,0.259128
46,109,0.04,0.0,0.5,10,9.433483923290392,3.2188758248682006,500,166.66666669999998,2.7966,0.02016,25.0,1.256637061,19.89436789,100,0.111864
0,1,0.04,0.0,0.1,5,4.605170185988092,0.0,100,33.33333333,4.0678,0.06677999999999999,1.25,0.050265482,24.86795986,25,0.162712
46,109,0.04,0.0,0.5,10,9.433483923290392,3.2188758248682006,500,166.66666669999998,2.7966,0.02016,25.0,1.256637061,19.89436789,100,0.111864
0,1,0.04,0.0,0.1,5,4.605170185988092,0.0,100,33.33333333,4.0678,0.06677999999999999,1.25,0.050265482,24.86795986,25,0.162712
32,74,0.04,0.0,0.5,20,8.517193191416238,3.2188758248682006,200,66.66666667,9.4453,0.0365,100.0,1.256637061,79.57747155,400,0.377812
0,1,0.04,0.0,0.1,5,4.605170185988092,0.0,100,33.33333333,4.0678,0.06677999999999999,1.25,0.050265482,24.86795986,25,0.162712
32,74,0.04,0.0,0.5,20,8.517193191416238,3.2188758248682006,200,66.66666667,9.4453,0.0365,100.0,1.256637061,79.57747155,400,0.377812
23,63,0.04,0.0,0.2,10,7.600902459542082,2.302585092994046,200,66.66666667,3.0129,0.0225,10.0,0.502654825,19.89436789,100,0.12051600000000001
39,95,0.08,0.0,0.2,20,7.824046010856292,1.6094379124341003,500,166.66666669999998,2.5839999999999996,0.026660000000000003,40.0,2.010619298,19.89436789,400,0.20672
127,213,0.04,0.1,0.2,20,8.517193191416238,2.302585092994046,500,166.66666669999998,4.0256,0.01542,40.0,0.502654825,79.57747155,400,0.161024
84,159,0.08,0.1,0.5,10,5.298317366548036,0.0,200,66.66666667,3.5581,0.0633,25.0,0.40212386,62.16989965,100,0.284648
52,116,0.04,0.1,0.5,5,4.605170185988092,0.0,100,33.33333333,11.0397,0.17185999999999998,6.25,0.050265482,124.3397993,25,0.441588
61,131,0.04,0.1,0.5,10,6.214608098422191,1.6094379124341003,100,33.33333333,7.0953,0.054779999999999995,25.0,0.251327412,99.47183943,100,0.283812
