m,v,d,tt,tp,ike,cu,e,lambda,cu_pred
0.1,10,0.04,-3.2493350323529087,-1.704584105684955,1.6094379124341005,0.0,6.214608098422191,-2.302585092994045,2.2732162
0.2,10,0.04,-2.6462027977761298,-1.0984243063378951,2.302585092994046,0.0,6.214608098422191,-2.302585092994045,2.7791014
0.5,5,0.04,-2.2610593461655477,-1.2858772439474209,1.8325814637483104,0.0,6.214608098422191,-2.302585092994045,3.3968155
0.2,10,0.08,-3.507224786307685,-2.006637276125232,2.302585092994046,0.0,6.214608098422191,-2.302585092994045,3.024802
0.5,10,0.08,-2.8978798733864863,-1.3556953234118834,3.218875824868201,0.0,6.214608098422191,-2.302585092994045,2.0451944
0.5,10,0.04,-3.302257433807252,-1.6185997542264867,3.218875824868201,1.6094379124341005,7.824046010856294,-2.302585092994045,2.2486215
0.2,20,0.08,-4.3981560166037665,-2.1395822805864912,3.688879454113936,1.6094379124341005,7.824046010856294,-2.302585092994045,12.201036
0.5,20,0.08,-3.7969101983276414,-1.5279685306365474,4.605170185988092,1.6094379124341005,7.824046010856294,-2.302585092994045,3.1118805
0.1,20,0.04,-4.717219689796714,-2.370221741709857,2.9957322735539913,2.302585092994046,8.517193191416238,-2.302585092994045,13.423905
0.2,15,0.04,-4.37247242186907,-2.274347551582806,3.1135153092103742,2.302585092994046,8.517193191416238,-2.302585092994045,13.295067
0.5,15,0.04,-3.616372763327188,-1.5324583529509193,4.0298060410845284,2.302585092994046,8.517193191416238,-2.302585092994045,3.771652
0.5,20,0.04,-3.381394754365976,-1.0437037372048297,4.605170185988092,2.302585092994046,8.517193191416238,-2.302585092994045,3.0903878
0.5,15,0.04,-4.4014133484740725,-2.265751842948697,4.0298060410845284,3.218875824868201,9.433483923290392,-2.302585092994045,22.868584
0.1,5,0.04,-3.7550192566184815,-2.729866454383106,0.22314355131420974,0.0,4.605170185988092,-1.6094379124341005,3.4568627
0.2,10,0.04,-2.5029891573387664,-0.9963301062199136,2.302585092994046,0.0,4.605170185988092,-1.6094379124341005,2.7412288
0.2,10,0.08,-3.6045383056801854,-2.0846390252271623,2.302585092994046,0.0,4.605170185988092,-1.6094379124341005,3.8244364
0.1,20,0.04,-4.067507908268541,-1.8381720620615547,2.9957322735539913,1.6094379124341005,6.214608098422191,-1.6094379124341005,3.4703379
0.2,10,0.04,-4.054739307629742,-2.3795957353602946,2.302585092994046,1.6094379124341005,6.214608098422191,-1.6094379124341005,6.6015244
0.2,20,0.04,-3.4333074355803888,-1.2039328051259146,3.688879454113936,1.6094379124341005,6.214608098422191,-1.6094379124341005,2.5790448
0.5,5,0.04,-3.772261063052988,-2.692550937655286,1.8325814637483104,1.6094379124341005,6.214608098422191,-1.6094379124341005,23.89396
0.2,20,0.08,-4.520829037554341,-2.1972885793843067,3.688879454113936,1.6094379124341005,6.214608098422191,-1.6094379124341005,9.844833
0.1,15,0.04,-5.035953102080546,-2.8254158238874685,2.4203681286504293,2.302585092994046,6.907755278982138,-1.6094379124341005,9.578934
0.5,20,0.04,-3.2253970418584665,-0.9098813161334164,4.605170185988092,2.302585092994046,6.907755278982138,-1.6094379124341005,3.236741
0.5,10,0.04,-4.688551794927141,-2.8481401972811335,3.218875824868201,3.218875824868201,7.824046010856294,-1.6094379124341005,41.639618
0.5,20,0.04,-4.147745338949217,-1.790456318697663,4.605170185988092,3.218875824868201,7.824046010856294,-1.6094379124341005,9.066152
0.2,5,0.04,-3.315937537711332,-2.3230327282631507,0.9162907318741552,0.0,5.298317366548036,-1.6094379124341005,5.6427774
0.5,5,0.04,-2.442537053421491,-1.4708418668438428,1.8325814637483104,0.0,5.298317366548036,-1.6094379124341005,3.9790642
0.1,15,0.08,-3.897134392934396,-2.113751452584868,2.4203681286504293,0.0,5.298317366548036,-1.6094379124341005,3.8806038
0.2,10,0.08,-3.7661925572166064,-2.159975036436319,2.302585092994046,0.0,5.298317366548036,-1.6094379124341005,5.2458234
0.2,15,0.08,-3.4457764250601226,-1.6718666607084145,3.1135153092103742,0.0,5.298317366548036,-1.6094379124341005,3.018073
0.5,10,0.08,-3.061872076058536,-1.49793231651656,3.218875824868201,0.0,5.298317366548036,-1.6094379124341005,2.5113666
0.1,10,0.04,-4.781907364488145,-2.956973205403907,1.6094379124341005,1.6094379124341005,6.907755278982138,-1.6094379124341005,6.913629
0.1,15,0.04,-4.511679842900753,-2.4497402983089174,2.4203681286504293,1.6094379124341005,6.907755278982138,-1.6094379124341005,6.6151752
0.2,10,0.04,-4.250296863995986,-2.533005053279032,2.302585092994046,1.6094379124341005,6.907755278982138,-1.6094379124341005,6.578006
0.2,15,0.04,-3.930186976055817,-1.8862987462542984,3.1135153092103742,1.6094379124341005,6.907755278982138,-1.6094379124341005,4.942852
0.2,20,0.04,-3.6944951928995717,-1.4141343214169766,3.688879454113936,1.6094379124341005,6.907755278982138,-1.6094379124341005,6.017368
0.1,15,0.04,-5.132802928070463,-2.9073551629365784,2.4203681286504293,2.302585092994046,7.600902459542082,-1.6094379124341005,7.0747848
0.2,10,0.04,-4.806063128367481,-2.955204722377923,2.302585092994046,2.302585092994046,7.600902459542082,-1.6094379124341005,30.73756
0.2,20,0.04,-4.330573353084967,-1.9882416155887737,3.688879454113936,2.302585092994046,7.600902459542082,-1.6094379124341005,14.156652
0.2,20,0.04,-5.092930536823086,-2.673301008775391,3.688879454113936,3.218875824868201,8.517193191416238,-1.6094379124341005,28.530375
0.5,10,0.04,-4.815891217303744,-2.9433675533481285,3.218875824868201,3.218875824868201,8.517193191416238,-1.6094379124341005,46.31529
0.5,20,0.04,-4.3708888902634255,-1.987453236834165,4.605170185988092,3.218875824868201,8.517193191416238,-1.6094379124341005,22.18001
0.1,5,0.04,-4.054739307629742,-2.9178827383567474,0.22314355131420974,0.0,6.214608098422191,-1.6094379124341005,5.940423
0.1,10,0.04,-3.580563310630477,-1.9834043534828936,1.6094379124341005,0.0,6.214608098422191,-1.6094379124341005,3.3377461
